建案名稱,坐落街道,起造人,層棟戶數,使用分區,主要用途,主要建材,申報備查期間,自銷售期間,代銷售期間,坐落基地,建照核發日期,建造執照,完成建物第一次登記日期,詳細內容,功能,備註,city,district,query_url,fetched_at
囍御水湳,西屯區台中市西屯區河南路二段,鉅陞建設股份有限公司,84,第三之二種住宅區,店舖與集合住宅,鋼筋混凝土造,1130118,無,1121220~1140619,上石碑段835地號,1121225,112中都建字第02021號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
升之泰,西屯區協仁段176號等9筆,德潤建設股份有限公司,8,農業區建地目,住宅用、停車空間、樓梯間,鋼筋混凝土造,1111215,1120101~1121231,,協仁段176地號,1111125,111中都建字第02399號,1140501,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
淳謙,西屯區光明路與西安街口,伍唐建設有限公司,47,第3-2種住宅區,店鋪.集合住宅,鋼筋混凝土造,1101028,報備完成既銷售至賣完為止,1101025~1111024,西屯段838-1地號,1101002,110中都建字第02035號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
大鑫知寓,西屯區光明路149.151號,大鑫開發建設股份有限公司,32,第一種商業區、第二種住宅區,H2集合住宅、G3店鋪,鋼筋混凝土造,1120329,1120501~1130501,,西屯段918-7地號,1091209,109中都建字第02730號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
成真 Come True,西屯區僑大六路及廣順街口,誠真建設開發股份有限公司,59,第二種生態住宅專用區,住家用,鋼筋混凝土造,1120529,1120622~1130621,,生態段2地號,1120507,112中都建字第00718號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
聚碩仁玉,西屯區僑大五路與廣順街口,聚碩建設股份有限公司,40,第二種生態住宅專用區,H2集合住宅,鋼筋混凝土造,1141210,無,1140501~1150430,生態段37地號,1141205,114中都建字第01733號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
謙成CBD,西屯區何厝街71號旁,謙成開發有限公司,4,第二種住宅區,住家用,鋼筋混凝土造,1110523,1110501~1111031,,何安段630-2地號,1110425,111中都建字第00858號,1140516,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
國雄無?,西屯區何厝段87地號,國雄建設股份有限公司,591,第三種商業區,集合住宅、辦公室、店鋪,鋼骨鋼筋混凝土造,1110601,"1110602~1160531,至完銷","1110602~1160531,至完銷",何厝段87地號,1101110,110中都建字第02300號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
品天璽(甲棟),西屯區中清路二段1250巷135號,品盛建設開發股份有限公司,1,第二種住宅區,H2住宅,鋼筋混凝土造,1130828,"1131008~1190930,售完為止",,廣昌段609地號,1130731,113中都建字第01330號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
品天璽(乙棟),西屯區中清路二段1250巷135號,品盛建設開發股份有限公司,1,第二種住宅區,H2住家用,鋼筋混凝土造,1130828,"1131008~1190930,售完為止",,廣昌段609-1地號,1130731,113中都建字第01331號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
品天璽(丙棟),西屯區中清路二段1250巷135號,品盛建設開發股份有限公司,12,第二種住宅區,H2集合住宅,鋼筋混凝土造,1130828,"1131008~1191030,售完為止",,廣昌段609-2地號,1130731,113中都建字第01332號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
UNI-經貿,西屯區中清路二段1250巷,基揚建設股份有限公司,23,第二種住宅區,H2集合住宅,鋼筋混凝土造,1120614,1120630~1140630,,廣昌段1071-1地號,1120524,112中都建字第00806號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
清澄玉境,西屯區中清二段1250巷118弄,亨悅建設有限公司:林雅旻,2,第二種住宅區,住宅,鋼筋混凝土造,1120616,112/06/26~售完為止,,廣昌段557地號,1110607,111中都字建地01139號,1130919,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
懋榮花雨歇,西屯區中康街,懋榮建設股份有限公司,52,第二種住宅區,店鋪及住宅,鋼筋混凝土造,1110308,1110401~1130331,,廣昌段656地號,1100501,110中都建字第00888號,1130913,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
雙橡園4117,西屯區中平路及經貿五路口,雙橡園開發股份有限公司,378,第五種商業區,住家用,鋼骨鋼筋混凝土造·鋼骨造,1120907,1120907~1171231,,鑫港尾段326地號,1060123,106中都建字第00187號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
勝美?上安,西屯區上安路vs青海南街,勝美建設股份有限公司,539,第二種商業區,G3店鋪、H2集合住宅,鋼筋混凝土造,1140514,無,1140501~1160430,福德段240地號,1120209,112中都建字第00272號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
花果山,西屯區上安北路,麗晨建設股份有限公司 負責人：張秀吻,97,第二種住宅區,G3店鋪、H2集合住宅,鋼筋混凝土造,1110331,1110407~自售至完銷,,福德段111地號,1110321,111中都建字第00655號,1150122,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
