建案名稱,坐落街道,起造人,層棟戶數,使用分區,主要用途,主要建材,申報備查期間,自銷售期間,代銷售期間,坐落基地,建照核發日期,建造執照,完成建物第一次登記日期,詳細內容,功能,備註,city,district,query_url,fetched_at
麗晨片片山閑,西屯區朝富二街,麗晨建設股份有限公司 負責人：張秀吻,79,第三種商業區,G3店鋪，H2集合住宅,鋼筋混凝土造,1120811,1121115~自售至完銷,,惠安段15地號,1120220,112中都建字第00315號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
允將一朗,西屯區智惠街與惠安巷交叉口,晟億地產股份有限公司,25,第二種住宅區,G3店鋪、H2集合住宅,鋼筋混凝土造,1120727,無,1120808~1140807,惠來厝段474-4地號,1110207,111中都建字第00300號,1140918,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
磐居智慧家,西屯區智惠街,磐居建設有限公司,8,第二種住宅區,集合式住宅,鋼筋混凝土造,1130827,1131001~1140930,,惠來厝段596地號,1120627,112中都建字第00985號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
富宇-富美圖,西屯區文華路與西安街277巷77弄,富宇建設股份有限公司 負責人 張世欣,280,第二種住宅區,H2集合住宅,鋼筋混凝土造,1130809,無,"1130801~自完售止,113年08月01日至全案完銷之日",廣明段605地號,1130619,113中都建字第01044號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
豐禾文華漾,西屯區文華路正煌巷,豐禾建設有限公司,29,第三之二種住宅區,住宅,鋼筋混凝土造,1110323,"1110405~1150405,銷售至完銷",,上石碑段1332地號,1101203,110中都建字第02455號,1140107,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
市政萬象廣場,西屯區文心路市政路口,興富發建設股份有限公司,257,第三種新市政中心專用區,店鋪、辦公室,鋼骨鋼筋混凝土造，鋼筋混凝土造,1130115,無,1130101~1201231,惠國段61地號,1120728,112中都建字第01155號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
寶璽天讚,西屯區文心一路,寶禧建設股份有限公司,112,第四之一種商業區,H2集合住宅 G3店鋪,鋼骨鋼筋混凝土造,1131012,1131120~1171130,,惠順段9地號,1080626,108中都建字第01318號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
RICH ONE 紐約館,西屯區成都路336號旁,僑馥建築經理股份有限公司,27,第二種住宅區,集合住宅店舖辦公室,鋼筋混凝土造,1120331,11205~11212,,中和段326-2地號,1120222,112中都建字第00325號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
新竣旭境,西屯區成都路,新竣建設有限公司,29,第二種住宅區,G3店鋪、H2集合住宅,鋼筋混凝土造,1141219,"1141219~1221231,自售期間至完銷為止",,中仁段411地號,1141003,114中都建字第01434號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
雲頂,西屯區惠順段11號,齊裕營造股份有限公司,548,第四之一種商業區,店鋪、辦公室、集合住宅,鋼筋混凝土造、鋼骨鋼筋混凝土造,1120927,無,1121001~1191231,惠順段11地號,1110809,111中都建字第01678號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
聯聚理安大廈,西屯區惠民路,聯聚建設股份有限公司,74,第一種新市政中心專用區,住家用,鋼骨造,1130916,1130925~售完為止,,惠民段88地號,1130813,113中都建字第01488號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
惟上,西屯區惠政街,由鉅建設股份有限公司 林嘉琪,171,第三種新市政中心專用區,集合住宅,鋼骨造,1101111,110年10月25日至銷售完畢,"~1121031,110年11月8日至112年10月31日",惠國段81地號,1101025,110中都建字第02128號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
青海新宿,西屯區惠安巷,棨揚開發建設股份有限公司,29,第三之二種住宅區,集合住宅,鋼筋混凝土造,1130715,無,1130708~1141231,惠來厝段474-12地號,1111207,111中都建字第02481號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
泉宇雲鼎,西屯區惠國段171地號等1筆,泉盈建設股份有限公司,69,第六種新市政中心專用區,住家用、共用部分、停車空間、見其他登記事項,鋼骨鋼筋混凝土造,1110210,無,1110501~1131231,惠國段171地號,1110128,111中都建字第00298號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
時間回聲,西屯區惠中路與西屯路二段(原惠中路),維騰建設股份有限公司,23,第三之第二種住宅區,集合住宅,鋼筋混凝土造,1121226,1121201~1161201,,惠來厝段130地號,1121113,112年中都建字第01744號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
大樁園NO.8,西屯區廣興巷,大樁建設股份有限公司,18,農業區建地目,集合住宅,鋼筋混凝土造,1130623,無,1130620~1141231,廣福段513地號,1130207,113中都建字第00310號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
IN VIVA,西屯區廣興巷,元鼎開發建設股份有限公司,111,農業區建地目,H2:集合住宅,鋼筋混凝土造,1111214,"1111207~自完售止,至建照取的後起算一年",1111207至建照取得起算一年,廣福段336地號,1111202,111中都建字第02466號,1141217,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
V市政,西屯區市政路黎明路口,鉅陞國際開發股份有限公司,50,第二種住宅區,店鋪與集合住宅,鋼筋混凝土,1120505,無,1120505~1130504,惠泰段285地號,1120430,112中都建字第00680號,1141120,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
蘿曼蘿蘭,西屯區市政路,興富發建設股份有限公司,408,第六種新市政中心專用區,集合住宅、店鋪、辦公室,鋼骨鋼筋混凝土造，鋼筋混凝土造,1110110,無,1110101~1181231,惠民段114地號,1101213,110中都建字第02499號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
