AA11,addr,apply,applydate,b,chkdate,city,e,f,house,id,idlist,lat,ldate,license,lon,ma,mark,name,pimg,pu,s,sn,subid,town
第六種新市政中心專用區,西屯區市政北七路和惠民路交叉口,遠雄建設事業股份有限公司,1120328,惠民段14地號,1130813,B,無,,336,G1B011203280003,"G1B011203280003,05,遠雄建設事業股份有限公司,1130812",24.165655522613104,1111128,111中都建字第02406號,120.6409457481487,鋼骨鋼筋混凝土造,遠雄建設事業股份有限公司,遠雄琉蘊,build_case.png,H2-集合住宅、G3-一般零售業,1120314~1170317,31,05,B06
第一種商業區、第二種住宅區,西屯區光明路149.151號,大鑫開發建設股份有限公司,1120329,"西屯段918-7地號,西屯段918-12地號",1121227,B,1120501~1130501,,32,G1B011203290002,"G1B011203290002,06,大鑫開發建設股份有限公司,1121226",24.180991966763873,1091209,109中都建字第02730號,120.63914103796668,鋼筋混凝土造,大鑫開發建設股份有限公司,大鑫知寓,build_case.png,H2集合住宅、G3店鋪,,32,06,B06
第二種住宅區,西屯區成都路336號旁,品創建設事業有限公司,1120331,中和段326-2地號,1130626,B,11205~11212,,27,G1B011203310002,"G1B011203310002,06,品創建設事業有限公司,1130625",24.17184917501499,1120222,112中都建字第00325號,120.66455862124648,鋼筋混凝土造,僑馥建築經理股份有限公司,RICH ONE 紐約館,build_case.png,集合住宅店舖辦公室,,33,06,B06
第二種住宅區,西屯區市政路黎明路口,鉅陞國際開發股份有限公司,1120505,"惠泰段285地號,惠泰段286地號,惠泰段296地號,惠泰段297地號,惠泰段288-1地號,惠泰段288地號,惠泰段289地號,惠泰段290地號,惠泰段291地號,惠泰段292地號,惠泰段293地號,惠泰段294地號,惠泰段295地號",1121020,B,無,1141120,50,G1B011205050001,"G1B011205050001,04,鉅陞國際開發股份有限公司,1121017",24.162288063432843,1120430,112中都建字第00680號,120.6335448377696,鋼筋混凝土,鉅陞國際開發股份有限公司,V市政,build_case.png,店鋪與集合住宅,1120505~1130504,34,04,B06
第二種生態住宅專用區,西屯區僑大六路及廣順街口,誠真建設開發股份有限公司,1120529,生態段2地號,1120802,B,1120622~1130621,,59,G1B011205290002,"G1B011205290002,00,誠真建設開發股份有限公司,1120529",24.194290756784063,1120507,112中都建字第00718號,120.6462992438386,鋼筋混凝土造,誠真建設開發股份有限公司,成真 Come True,build_case.png,住家用,,35,00,B06
第二之一種商業區,西屯區永福路與福科路口,永豐國際開發股份有限公司,1120606,信安段604地號,1120802,B,1120615~售完為止,,208,G1B011206060001,"G1B011206060001,00,永豐國際開發股份有限公司,1120606",24.183973676952572,1090904,109中都建字第01954號,120.62137637161096,鋼筋混凝土造,永豐國際開發股份有限公司,寶輝THE TOWER,build_case.png,集合住宅,,36,00,B06
第二種住宅區,西屯區中清路二段1250巷,基揚建設股份有限公司,1120614,"廣昌段1071-1地號,廣昌段1073地號,廣昌段1089地號,廣昌段1090地號",1120825,B,1120630~1140630,,23,G1B011206140001,"G1B011206140001,00,基揚建設股份有限公司,1120614",24.19460156175622,1120524,112中都建字第00806號,120.65987265510488,鋼筋混凝土造,基揚建設股份有限公司,UNI-經貿,build_case.png,H2集合住宅,,37,00,B06
第二種住宅區,西屯區中清二段1250巷118弄,亨悅建設有限公司,1120616,"廣昌段557地號,廣昌段557-2地號",1130821,B,112/06/26~售完為止,1130919,2,G1B011206160003,"G1B011206160003,18,亨悅建設有限公司,1130809",24.196128870189213,1110607,111中都字建地01139號,120.66048875587045,鋼筋混凝土造,亨悅建設有限公司:林雅旻,清澄玉境,build_case.png,住宅,,38,18,B06
第四種新市政中心專用區,西屯區市政路,聯聚建設股份有限公司,1120630,"惠國段178地號,惠國段179地號,惠國段181地號",1120802,B,"1120710~自完售止,售完為止",,227,G1B011206300002,"G1B011206300002,00,聯聚建設股份有限公司,1120630",24.159038621590383,1120502,112中都建字第00698號,120.64160390048954,鋼骨鋼筋混凝土造，鋼骨造,聯聚建設股份有限公司,聯聚中維大廈,build_case.png,商辦,,39,00,B06
第二種住宅區,西屯區智惠街與惠安巷交叉口,晟億地產股份有限公司,1120727,"惠來厝段474-4地號,惠來厝段604地號,惠來厝段601-10地號,惠來厝段606-2地號",1120830,B,無,1140918,25,G1B011207270001,"G1B011207270001,00,晟億地產股份有限公司,1120727",24.167808548258964,1110207,111中都建字第00300號,120.64654938116222,鋼筋混凝土造,晟億地產股份有限公司,允將一朗,build_case.png,G3店鋪、H2集合住宅,1120808~1140807,40,00,B06
第三種商業區,西屯區朝富二街,麗晨建設股份有限公司,1120811,"惠安段15地號,惠安段16地號,惠安段17地號,惠安段18地號,惠安段19地號",1121019,B,1121115~自售至完銷,,79,G1B011208110001,"G1B011208110001,00,麗晨建設股份有限公司,1120811",24.169467637157574,1120220,112中都建字第00315號,120.63787434328428,鋼筋混凝土造,麗晨建設股份有限公司 負責人：張秀吻,麗晨片片山閑,build_case.png,G3店鋪，H2集合住宅,,41,00,B06
