AA11,addr,apply,applydate,b,chkdate,city,e,f,house,id,idlist,lat,ldate,license,lon,ma,mark,name,pimg,pu,s,sn,subid,town
第二種創新研發專用區,西屯區逢大路和凱旋一街交叉口,遠雄建設事業股份有限公司,1100805,逢大段35地號,1120725,B,無,1130219,128,G1B011008050002,"G1B011008050002,04,遠雄建設事業股份有限公司,1120721",24.17689270868334,1100217,110中都建字第448號,120.65078603937026,鋼筋混凝土造,遠雄建設事業股份有限公司,遠雄純寓,build_case.png,G3 一般零售業甲乙組 & H2集合住宅,"1100125~1121226,延長代銷期間",0,04,B06
第二種創新研發專用區,西屯區福星北路和福星北路交叉口,遠雄建設事業股份有限公司,1110621,廣明段855地號,1120721,B,無,1130903,87,G1B011106210007,"G1B011106210007,03,遠雄建設事業股份有限公司,1120703",24.186648358330114,1091225,109中都建字第02882號建造執照,120.64472576177639,鋼筋混凝土造,遠雄建設事業股份有限公司,遠雄藝舍,build_case.png,H2-集合住宅、G3-店鋪,1110820~1130918,1,03,B06
第六種新市政中心專用區,西屯區市政北七路和惠民路交叉口,遠雄建設事業股份有限公司,1120328,惠民段14地號,1130813,B,無,,336,G1B011203280003,"G1B011203280003,05,遠雄建設事業股份有限公司,1130812",24.165655522613104,1111128,111中都建字第02406號,120.6409457481487,鋼骨鋼筋混凝土造,遠雄建設事業股份有限公司,遠雄琉蘊,build_case.png,H2-集合住宅、G3-一般零售業,1120314~1170317,2,05,B06
第一之一種住宅區,西屯區經貿路二段、經貿六街,遠雄建設事業股份有限公司,1130111,鑫港尾段351地號,1130424,B,無,,168,G1B011301110005,"G1B011301110005,03,遠雄建設事業股份有限公司,1130418",24.191725932060827,1120929,112中都建字第01499號,120.65794114325178,鋼筋混凝土造,遠雄建設事業(股)公司,遠雄綠美,build_case.png,H2-集合住宅、G3-店舖,1121001~1160430,3,03,B06
第二種創新研發專用區,西屯區福星北路與福星北路82巷路口,遠雄建設事業股份有限公司,1130729,廣明段866地號,1131119,B,無,,148,G1B011307290001,"G1B011307290001,05,遠雄建設事業股份有限公司,1131017",24.186052864855107,1120923,112中都建字第01471號,120.64491442600821,鋼筋混凝土造,遠雄建設事業股份有限公司,遠雄洄山行,build_case.png,H2-集合住宅、G3-店舖,"1120915~1150729,至取得使用執照為止",4,05,B06
